"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","99/2766","270/9709",0.366666666666667,1.28704507110147,3.01916168954356,0.00192511634921868,0.00842550921671034,0.00473712840545951,"13132/54198/15015/54189/100529082/66251/107338/15006/30948/14183/110557/259300/245666/55988/22042/228998/12389/26431/106572/14773/16001/234353/77407/15040/16574/12402/19326/14972/19157/69710/70432/232227/215445/15007/232910/330319/73728/69717/347722/15018/12767/57440/14991/13649/216859/14275/99371/72685/268451/22365/330192/17246/78618/13854/93742/11772/18719/74192/225861/16004/56443/14186/230597/434782/15511/12757/110355/14772/27965/98878/15482/67588/193740/11867/16572/22088/216869/12345/17999/18805/14184/58220/77038/15013/227700/194309/22034/75767/27681/14997/58194/19341/66713/106952/73711/14963/80794/13196/67064",99
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","54/2766","135/9709",0.4,1.40404916847433,2.98381421829855,0.00248333314702888,0.0107292726993427,0.00603238821140618,"64138/13032/11651/12043/12333/18709/12367/12364/11799/16905/12125/13033/19249/11920/12369/26926/16907/22059/16439/13666/13804/21933/12334/20740/16440/22142/26396/229445/13197/23797/16438/12370/18049/13036/22029/110157/21926/18033/74769/11796/53859/18706/14082/56464/12371/18952/12633/14102/22146/12045/69601/12122/19766/16188",54
"Genetic Information Processing","Folding, sorting and degradation","mmu03060","Protein export - Mus musculus (house mouse)","21/2766","42/9709",0.5,1.75506146059291,3.09512703578119,0.00255877257617541,0.0109152703565964,0.00613696287423816,"67398/53421/20818/66286/66384/217337/140740/66212/76687/27058/24067/100101806/20335/665155/66661/66624/66320/69089/71446/76976/93757",21
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","32/2766","72/9709",0.444444444444444,1.56005463163815,3.01053098213132,0.00272279068437944,0.0114697557579484,0.0064487147787934,"13645/11651/20850/18750/18709/13555/16574/18752/20851/218772/109880/22059/242705/54354/13649/26396/13197/23797/110157/12571/21802/234779/74769/16572/20663/27015/18706/14198/12575/12371/16453/12443",32
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle) - Mus musculus (house mouse)","17/2766","32/9709",0.53125,1.86475280187997,3.09253045746435,0.00285781227219232,0.0118899103176397,0.00668494098758438,"68263/104112/235339/12974/17449/11428/13382/18597/11429/71832/269951/18563/15926/66945/20917/56451/66925",17
"Organismal Systems","Digestive system","mmu04970","Salivary secretion - Mus musculus (house mouse)","37/2766","87/9709",0.425287356321839,1.49281089751581,2.91423548414801,0.00339179586348442,0.0138118283339662,0.00776551335347152,"11941/18750/11512/22318/18795/381290/432530/18752/76113/16531/11936/16439/20544/16534/234889/104111/54195/19091/18749/16440/11830/13010/16438/12494/11549/64177/67972/60596/14682/11928/11555/11931/11515/12314/70405/12182/104110",37
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway - Mus musculus (house mouse)","47/2766","116/9709",0.405172413793103,1.42220497668736,2.8873039810048,0.00340172626622905,0.0138118283339662,0.00776551335347152,"68263/13645/18641/11651/12043/433182/18750/18597/13806/22042/18709/15979/12576/16001/15277/21857/18752/18655/16828/22041/56421/228026/16000/11676/13685/13649/20525/26396/12325/21898/23797/11600/13614/12914/234779/18033/74769/13808/18706/12575/16193/21687/14254/12322/170768/16194/67923",47
"Organismal Systems","Endocrine system","mmu04924","Renin secretion - Mus musculus (house mouse)","33/2766","76/9709",0.43421052631579,1.52413232104121,2.89523850985493,0.00371194570353563,0.0148919726439465,0.00837280985759917,"11512/11421/18795/109305/13617/16531/16439/229933/234889/19217/54195/18749/12722/16440/16438/80797/14678/13614/60596/12289/14682/18160/11555/11539/54611/12288/11606/229927/18574/11826/12314/70405/16518",33
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer - Mus musculus (house mouse)","57/2766","147/9709",0.387755102040816,1.36106807148022,2.78413809738381,0.00431092761859093,0.0170368985883552,0.00957876540966401,"13645/11651/14182/12189/18709/13555/14164/16001/109880/16973/22059/242705/16000/16449/21414/22420/13649/26396/13388/216148/14369/13197/14362/23797/14365/93897/16450/110157/12571/22411/57265/74769/20663/15213/27015/18706/23805/16590/14171/18667/22409/12575/12190/18131/22419/54485/12006/17977/21415/27412/17869/271849/14371/13982/56198/12443/14178",57
"Genetic Information Processing","Folding, sorting and degradation","mmu04130","SNARE interactions in vesicular transport - Mus musculus (house mouse)","17/2766","33/9709",0.515151515151515,1.80824514121694,2.93541515243371,0.00434769518871972,0.0170368985883552,0.00957876540966401,"20333/12068/67474/68159/56418/20909/74732/56389/22318/71116/20619/56494/13852/67023/53330/53620/224630",17
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway - Mus musculus (house mouse)","48/2766","121/9709",0.396694214876033,1.39244545633818,2.74173431000313,0.00505100101128123,0.0194132635409643,0.0109148444084759,"16179/11651/12043/14388/12064/18709/11350/109905/17164/107746/18213/109880/19247/22059/20112/26396/12325/20661/216148/23797/65020/18049/110157/26401/23938/170936/78405/234779/110651/18033/74769/192656/20663/18212/20111/18706/12326/14570/108960/22034/12314/94275/70405/18037/19094/12322/271849/26415",48
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","53/2766","136/9709",0.389705882352941,1.36791555016801,2.72716213124904,0.00512679102015169,0.0194132635409643,0.0109148444084759,"18019/16179/11651/140580/18709/242687/16402/26431/23880/19878/16801/110596/69632/320795/20112/330319/108100/26397/26396/21898/23797/16412/18719/74192/18018/19303/56443/434782/19877/21926/57257/11867/110651/140579/18033/54126/14682/74769/20111/18706/26399/20296/22034/19229/12362/16193/66713/16818/19094/54353/14268/26415/170758",53
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","54/2766","139/9709",0.388489208633094,1.36364487585636,2.72550066674229,0.00512694497075912,0.0194132635409643,0.0109148444084759,"30878/11651/19017/108097/11512/105787/20130/18795/14219/432530/18754/14696/14700/108079/20698/110891/16439/20544/104111/20750/16449/18749/17260/11475/107589/16440/26396/66066/23797/16438/14678/110157/14707/14701/14702/208727/14682/20541/12326/16890/18131/11515/17258/12314/18791/66734/70405/104110/22227/23796/14708/12443/14704/13653",54
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","37/2766","89/9709",0.415730337078652,1.45926458521209,2.74718441354751,0.00534311641742329,0.0197944279783275,0.0111291489492392,"22272/12297/17708/17711/66445/12858/326618/12866/12861/66694/12868/66142/11936/110891/22003/12859/20544/11938/67003/22004/333182/236727/12857/110323/12293/12298/12295/12289/66152/65973/20541/11928/11931/12288/53313/12865/12867",37
"Organismal Systems","Digestive system","mmu04978","Mineral absorption - Mus musculus (house mouse)","25/2766","55/9709",0.454545454545455,1.59551041872083,2.79533878702714,0.00534508292589852,0.0197944279783275,0.0111291489492392,"11941/14319/244698/22337/20529/381290/320718/72027/20531/18174/53945/22041/11936/20537/11979/110891/70358/64177/67972/12724/20541/11928/11931/11927/171429",25
"Human Diseases","Cancer: specific types","mmu05218","Melanoma - Mus musculus (house mouse)","31/2766","72/9709",0.430555555555556,1.51130292439945,2.74846989597516,0.00561862888478519,0.0205812818931805,0.0115715469023036,"13645/11651/14182/71785/18709/13555/14164/16001/18590/109880/22059/242705/16000/13649/26396/13197/23797/17246/54635/110157/12571/18591/74769/27015/18706/14171/12575/18596/17342/12443/14178",31
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","63/2766","167/9709",0.377245508982036,1.32417810799226,2.66710185714627,0.00579783673198437,0.0209655575085975,0.0117876006607763,"13645/11651/20778/18709/12367/22630/13555/12520/22631/100039786/230073/109880/53624/22059/242705/228607/13666/58187/12740/18260/23961/13649/26396/54420/142980/23797/24014/12370/58185/110157/12571/17858/12737/19053/21926/19192/12739/18033/74769/20663/18706/20847/14082/60363/246728/12575/72930/12371/22034/12633/15467/14102/12702/54123/54419/16391/15945/12122/17869/15957/19766/12443/12741",63
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway - Mus musculus (house mouse)","60/2766","158/9709",0.379746835443038,1.33295807133639,2.66324461308672,0.00591974901938051,0.0209655575085975,0.0117876006607763,"71228/232157/22630/14164/14219/11799/22631/50523/56217/13385/100039786/14633/21678/319710/12234/16475/12385/101543/21414/17131/22420/14563/21676/14369/14362/73246/14365/93960/12444/93897/93742/18016/17125/19053/16897/22411/20583/19045/57265/21677/11796/97064/12168/22601/23805/58220/22409/12162/12161/72930/22419/12006/72293/21679/21415/12159/217325/17869/14371/12443",60
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance - Mus musculus (house mouse)","44/2766","110/9709",0.4,1.40404916847433,2.68989268049587,0.00593315353820031,0.0209655575085975,0.0117876006607763,"100705/11651/231991/14583/19017/108097/105787/18709/26427/14584/21428/26569/20787/18754/108079/19247/20112/210789/12491/110095/78284/20525/23797/228775/21926/58805/20528/110651/19045/18033/74769/26457/110078/20111/18706/170826/19309/16193/11606/12702/105651/74343/18761/384783",44
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse - Mus musculus (house mouse)","45/2766","113/9709",0.398230088495575,1.39783656153418,2.68482624081498,0.00597895596279469,0.0209655575085975,0.0117876006607763,"11651/12043/231991/18750/11512/18709/14672/26427/18795/432530/18752/12669/14696/14700/16439/104111/18749/78284/16440/16535/12325/66066/23797/16438/14678/14360/14707/14701/14702/12289/14682/74769/18706/12326/12288/11515/12672/14681/104110/12286/12322/16518/14708/14704/211480",45
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species - Mus musculus (house mouse)","27/2766","61/9709",0.442622950819672,1.55366096511504,2.7378368501802,0.0060432932484463,0.0209655575085975,0.0117876006607763,"11651/108097/11512/105787/18709/20656/20480/12955/16001/432530/20655/67605/108079/16000/104111/18749/23797/15511/15482/193740/74769/18706/13688/11515/93759/104110/384783",27
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","52/2766","134/9709",0.388059701492537,1.36213725299749,2.66424156739974,0.00609680900843487,0.0209655575085975,0.0117876006607763,"17978/11651/12043/231991/11512/18709/26427/18795/432530/16666/13033/94179/16439/104111/16665/15200/18749/78284/13649/16440/26396/16664/216148/16667/23797/16438/14678/110157/19401/15511/21802/15482/193740/54393/14682/74769/20663/18706/68239/18667/16660/11515/17977/12314/70405/14681/104110/271849/16668/17390/13982/107656",52
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)","17/2766","34/9709",0.5,1.75506146059291,2.7836438204498,0.00641815348317729,0.0218476537760682,0.0122835473362245,"68263/235339/12974/11428/13382/18597/11429/71832/109652/12036/14718/269951/13171/15926/12039/108682/209692",17
"Genetic Information Processing","Replication and repair","mmu03440","Homologous recombination - Mus musculus (house mouse)","20/2766","42/9709",0.476190476190476,1.67148710532658,2.75254135238573,0.00649192431410266,0.021877784938526,0.0123004881740893,"19361/19366/237911/12189/12144/67967/57434/235559/623474/11920/233826/12021/210766/268465/74335/18972/225182/20962/12190/19891",20
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","37/2766","90/9709",0.411111111111111,1.44305053426528,2.66518245753097,0.00662933101206695,0.022119649020461,0.0124364729773012,"17387/18750/11512/14672/18795/432530/26405/13712/16439/104111/15200/18749/13649/26397/16440/26396/12325/16438/110157/26401/16866/12289/14682/20663/18805/26399/12288/19229/11515/12314/70405/104110/19094/12322/17390/26415/13653",37
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance - Mus musculus (house mouse)","15/2766","29/9709",0.517241379310345,1.81558082130301,2.77616780866984,0.00691405545801366,0.0228434969544177,0.0128434466712328,"26357/17250/22171/108037/13361/14287/239273/27416/20509/14275/21926/18033/11684/16193/20425",15
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","43/2766","108/9709",0.398148148148148,1.39754894084251,2.62217475997507,0.0071273308929792,0.0231427905480349,0.0130117204393137,"12814/17380/12839/50934/12840/94216/13482/11936/110891/20540/12841/12816/16534/12830/373864/20514/16535/237759/12826/12827/12836/12833/12822/53867/12818/12834/12821/16529/20541/329941/13717/12832/20510/11928/11931/12831/234967/107581/77018/20532/67760/12819/12815",43
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","71/2766","193/9709",0.367875647668394,1.29128874302691,2.57983855196897,0.00714198877446776,0.0231427905480349,0.0130117204393137,"11651/140580/20312/11512/18709/14825/56838/18795/14773/432530/330122/14696/20851/14700/19878/109905/20310/109880/20300/104111/12767/18749/20311/20297/18829/20308/216148/66066/23797/20306/93742/14678/57266/19303/110157/20309/19877/110355/14772/57257/14707/14701/19395/234779/14702/100039863/18033/14682/74769/20663/216869/18706/20847/20296/20305/20301/17969/15162/277360/19229/11515/16453/100041579/104110/14191/15945/271849/14708/170758/14704/21844",71
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia - Mus musculus (house mouse)","32/2766","76/9709",0.421052631578947,1.47794649313088,2.64011402657577,0.00736856477494955,0.023649584087219,0.0132966582405105,"11651/20850/18709/13555/12576/12402/11350/20851/109880/19247/22059/242705/26396/216148/13197/23797/17246/12394/110157/12571/14389/13017/18033/74769/20663/27015/18706/12575/14013/17869/271849/12443",32
"Metabolism","Amino acid metabolism","mmu00260","Glycine, serine and threonine metabolism - Mus musculus (house mouse)","19/2766","40/9709",0.475,1.66730838756327,2.66921273526201,0.00815602059678648,0.0259299900105381,0.0145787855751893,"68133/104174/13382/17161/67092/108037/11754/76238/19193/18648/14711/109731/237940/14431/434437/20425/236539/192166/107869",19
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","56/2766","148/9709",0.378378378378378,1.32815461882707,2.53907254272213,0.00832257372467524,0.0262122181795847,0.0147374645395135,"11651/16416/12043/18104/105787/16800/18709/12389/11898/108079/16410/18590/56615/14862/22059/63873/56551/16399/17260/23797/13057/13614/18591/21926/11477/23938/21824/18033/74769/12168/14871/22329/18706/26399/68312/14872/20296/17969/16542/15894/17258/12314/18791/12562/14866/70405/20339/12159/17970/14733/19094/18024/17390/26415/170758/18613",56
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway - Mus musculus (house mouse)","49/2766","127/9709",0.385826771653543,1.35429939478823,2.53665600548221,0.00861548946302253,0.0268835180466536,0.0151148937947764,"14104/100705/107476/18641/12428/11651/231991/19017/108097/105787/20250/18709/26427/16001/20787/20249/329065/19326/12683/67605/108079/56421/12491/16000/19054/13685/78284/23797/13631/78070/11549/19053/20528/26932/74769/19016/68465/18640/18706/270198/56690/72930/16890/93759/18639/74343/384783/170768/12443",49
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","128/2766","375/9709",0.341333333333333,1.1981219570981,2.4696291012452,0.00869698329170053,0.026888838250487,0.0151178850073017,"18391/11946/54405/22272/227197/12043/22433/110379/28080/18643/17708/103199/14775/17706/22151/17711/17705/12367/11947/11951/228033/66445/12364/12858/19324/69590/94232/16574/17995/66046/12866/15185/12861/103172/11744/20655/66694/67264/12868/17721/16593/56085/66142/73205/641340/53333/68197/211323/11950/67126/66108/67819/18226/22059/66043/230075/78330/12859/69912/66945/13666/70316/67003/68202/67273/17722/66916/66218/26397/407785/16440/22142/75406/72787/333182/12857/215999/14778/105000/110323/11957/69482/77595/100042503/21926/17991/17992/66091/330355/54563/623286/72900/225027/66152/67305/16572/22123/227058/17993/26399/68342/29869/11949/18645/67951/66377/12371/237082/12362/66925/57296/22146/100041273/68194/66734/68943/110084/170722/12865/51897/66414/19094/12122/15114/12867/50873/26415/20511",128
"Metabolism","Glycan biosynthesis and metabolism","mmu00514","Other types of O-glycan biosynthesis - Mus musculus (house mouse)","20/2766","43/9709",0.465116279069767,1.63261531217945,2.62402471418253,0.00894053641697118,0.0273607730391072,0.015383223948272,"230145/14423/14595/233733/20440/171212/268880/269132/26433/101351/94192/108150/59048/224143/14426/14425/53418/108760/78754/17305",20
"Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation - Mus musculus (house mouse)","12/2766","22/9709",0.545454545454545,1.914612502465,2.71063607167313,0.00901200536302937,0.0273607730391072,0.015383223948272,"17449/12351/76257/27376/11936/14660/12349/14661/54403/11928/11931/11826",12
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","25/2766","57/9709",0.43859649122807,1.53952759701133,2.57845659013967,0.00927035687382632,0.0278938416649953,0.0156829345609844,"74147/17850/13382/110460/224530/93747/110821/66948/66885/12036/110446/15107/13171/66904/12039/100470/257633/56357/78038/208982/78894/15356/11761/268860/72535",25
"Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway - Mus musculus (house mouse)","59/2766","158/9709",0.373417721518987,1.31074210348078,2.48554489108126,0.00944483486930862,0.028167339389,0.0158367049508668,"11651/110379/18750/105787/66335/18709/16001/14245/20393/18752/67605/109270/71962/108079/109880/16973/20112/16000/13685/66508/22420/26396/320311/14369/14362/23797/14365/93897/11973/110157/68775/71718/22411/80909/21926/83409/216805/110651/57265/74769/20663/110935/20111/108664/18706/29869/22409/66290/11966/22419/245670/66096/73834/20539/66237/14371/72446/52187/97998",59
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway - Mus musculus (house mouse)","27/2766","63/9709",0.428571428571429,1.50433839479393,2.53475545788149,0.0100809336261118,0.0294044749654632,0.0165322676676039,"80904/270118/208117/20602/67122/433586/16449/103806/74198/13388/16450/18223/12914/59287/14357/19664/13017/15213/66935/68318/18131/54485/21885/207521/56198/20238/17305",27
"Organismal Systems","Endocrine system","mmu04929","GnRH secretion - Mus musculus (house mouse)","27/2766","63/9709",0.428571428571429,1.50433839479393,2.53475545788149,0.0100809336261118,0.0294044749654632,0.0165322676676039,"11651/18750/18709/14672/18795/18752/16439/16534/20750/16440/26396/23797/16438/110157/16866/12289/54393/14682/74769/216869/18706/114229/140492/12288/12291/15168/22063",27
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","40/2766","101/9709",0.396039603960396,1.39014769155874,2.48765769361251,0.0102071920573209,0.0294044749654632,0.0165322676676039,"11651/12043/18799/20850/18750/18709/12367/12576/18795/18754/20851/94216/50490/12830/23797/22341/12826/12827/18018/13614/21926/21824/234779/18033/74769/22329/18706/20296/16193/11606/15894/14066/20339/19094/17390/14268/12443/26415/18802/13653",40
"Metabolism","Glycan biosynthesis and metabolism","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (house mouse)","15/2766","30/9709",0.5,1.75506146059291,2.61423771209042,0.010238936589529,0.0294044749654632,0.0165322676676039,"14755/14731/56176/233575/55981/225651/18700/433931/67063/14756/56703/67292/54218/327942/66268",15
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","45/2766","116/9709",0.387931034482759,1.36168561597726,2.4734344134854,0.0102959289196577,0.0294044749654632,0.0165322676676039,"18750/11512/76257/18795/26558/432530/13385/18752/14696/14700/16439/104111/18749/14660/16440/66066/14807/16438/14678/110355/14707/14701/14702/12289/14682/53623/18805/20510/26557/224997/12288/11515/26556/22063/58234/210274/14681/104110/12286/72961/67760/241638/14708/20511/14704",45
"Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","23/2766","52/9709",0.442307692307692,1.55255436898604,2.52158122614682,0.0109324545471605,0.0307019765199425,0.0172617703376219,"26357/74104/17250/56325/239273/27416/192663/27410/217265/11666/74610/19300/11306/20928/18669/56199/11303/27403/21354/18671/27404/11307/21355",23
"Genetic Information Processing","Replication and repair","mmu03460","Fanconi anemia pathway - Mus musculus (house mouse)","23/2766","52/9709",0.442307692307692,1.55255436898604,2.52158122614682,0.0109324545471605,0.0307019765199425,0.0172617703376219,"19361/237911/12189/211651/12144/14087/67030/230484/208836/233826/74386/223970/69928/268465/237211/71718/20892/26447/193838/27015/12190/101831/19891",23
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","81/2766","228/9709",0.355263157894737,1.24701735357918,2.38223830678915,0.0116035285485422,0.0323172654616423,0.0181699446606141,"15015/12428/20807/100529082/231991/15006/20850/12534/12649/110557/107995/56463/18709/12367/22630/12576/26427/22631/15040/56233/15185/13655/14972/19650/100039786/60595/11972/20851/234729/227753/83945/17164/16195/15007/22059/66973/69717/15018/109711/18749/78284/14991/12266/17246/12444/12370/19303/22029/12571/319160/12914/20684/170787/19385/22033/18970/208727/19664/18033/74769/319161/18706/20963/13654/15013/12575/20259/319158/14997/16453/110957/54123/13205/12448/16391/14963/665596/319179/319187/12443/665622",81
"Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer - Mus musculus (house mouse)","25/2766","58/9709",0.431034482758621,1.51298401775251,2.47314205607874,0.0119703145249944,0.0330655409419926,0.0185906524115529,"13645/11651/18709/13712/109880/22059/12385/21414/13649/26396/13197/23797/110157/16202/74769/20663/27015/18706/23805/12575/12371/12006/21415/17869/12443",25
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism - Mus musculus (house mouse)","20/2766","44/9709",0.454545454545455,1.59551041872083,2.49880382584722,0.0120813091311651,0.0331008225788833,0.0186104890338872,"68263/100705/235339/107476/60525/17449/13382/110460/224530/18597/110446/18563/16828/17436/68738/66204/76238/109264/14651/72535",20
"Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action - Mus musculus (house mouse)","45/2766","117/9709",0.384615384615385,1.35004727737916,2.40426558006887,0.0122118670764271,0.0331887032641607,0.0186598987585473,"11651/231991/20850/18750/11512/18709/14672/26427/18795/432530/18752/20851/16005/16439/16000/104111/18749/78284/26397/16440/26396/216148/23797/16438/14678/110157/12703/12914/26401/234779/12289/14682/74769/20663/16009/18706/26399/12288/11515/12702/104110/19094/384783/271849/26415",45
"Metabolism","Energy metabolism","mmu00920","Sulfur metabolism - Mus musculus (house mouse)","7/2766","11/9709",0.636363636363636,2.23371458620916,2.58396925050963,0.0160869676850047,0.0433704648787726,0.0243844562804281,"23972/23827/20342/66071/22117/20341/246221",7
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","80/2766","228/9709",0.350877192982456,1.23162207760906,2.23376608154592,0.0167045825988506,0.0446781296493069,0.0251196730809784,"16179/12505/15015/12428/100529082/11651/12043/15006/110557/18709/12367/13555/12576/15040/20602/12495/12125/14972/230073/15007/22059/242705/228607/69717/15018/23961/14991/22352/26397/13197/23797/17246/12444/12370/12571/21926/22033/234779/19664/18033/74769/27015/17999/66935/21929/53859/22123/24088/18706/26399/20847/14082/20963/246728/215446/15013/12575/12371/22034/16193/14102/57296/21354/14997/15894/16453/54123/12448/18037/19094/16391/15945/12122/17869/12010/14963/19766/21355/12443/26415",80
